id,created_on,operation,property_type,neighbourhood,lat,lon,price,surface_total_in_m2,surface_covered_in_m2,floor,rooms,expenses
8b9066aade5525c0140ca61c1681c67ff0fd4057,2017-09-01,sell,apartment,Belgrano,-34.5670278,-58.4353992,590000,168,157,,4,20000
f64844539cb8b3272d217418cb314b32c0052ecc,2017-09-01,sell,store,Parque Patricios,-34.637836,-58.4049604,,420,,,,
8950b036707486f07533224420cee196ea61bcfb,2017-09-01,sell,apartment,Nuñez,-34.5541922,-58.4363887,155000,45,40,,1,3500
9a2aef80f87ade48e96a227796665e2c107ffb7e,2017-09-01,sell,store,Belgrano,-34.5597349,-58.466299,85000,46,46,,,1615
ca36bc7c86dfc7121495ce41fa6bc5ea5c256e50,2017-09-01,sell,store,Coghlan,-34.5597349,-58.466299,85000,46,46,,,1615
baa9a8ec1748fdab0c05088b0dd8ab35d218db95,2017-09-01,sell,store,Belgrano,-34.5678332,-58.4651724,2500000,474,434,,,
45c771314487118eaac681e9390b805eb4f85e85,2017-09-01,sell,house,Villa Lugano,-34.6679737,-58.4821487,145000,,80,,2,
8d3589cc6338f0de156fecf31b186eb97bae312f,2017-09-01,sell,apartment,Almagro,-34.6021148,-58.4270487,126000,47,44,,1,
8be3f9b500c2bb3126593806b9ca5d5be3cb665c,2017-09-01,sell,house,Villa Devoto,-34.6140007,-58.5133756,230000,,109,,,
72c5b4ee919ea3d805593456c90bdd024ad1556f,2017-09-01,sell,apartment,Barrio Norte,-34.5929071,-58.3808751,478000,166,166,,5,
0f9dfad58ef46ff9439f0b6404a443b09d60a0c1,2017-09-01,sell,house,Villa Crespo,-34.6016804,-58.4476476,400000,,150,,,
4c98f03bcd04f7d84ab95b9a707945154fd0a83b,2017-09-01,sell,apartment,Recoleta,-34.5971060961,-58.3925570814,612137,144,93,,3,
ad6bdd26d74933350e0a769cf3e01bfc88c90098,2017-09-01,sell,apartment,San Cristobal,-34.6235032489,-58.4011113577,179900,112,100,,4,
854ce90d8445abc8b86ba30e672a7c56931ff9f8,2017-09-01,sell,apartment,Recoleta,-34.5971060961,-58.3925570814,543789,131,98,,4,
3cbbae05e815c89c71e30bf137a49ac04fb4ca2f,2017-09-01,sell,apartment,Recoleta,-34.5971060961,-58.3925570814,662029,139,131,,4,
e5f1d29e19d37d6ecbb8183d2e247d01522da429,2017-09-01,sell,house,Liniers,-34.6457763114,-58.5240389836,210000,203,195,,,
aa8057bb290ed829254c80f165ea3329d3680e5f,2017-09-01,sell,apartment,Flores,-34.6317275,-58.4795638,99000,55,51,,3,
95cdb83626c754698e6edf06fd9199789b8e896a,2017-09-01,sell,apartment,Recoleta,-34.5907667,-58.3869338,520000,180,170,,4,
ac6ef7fb86a710d7d387f927063c362f1486ea2d,2017-09-01,sell,apartment,Barrio Norte,-34.5907524,-58.4005208,225000,60,47,,2,
1f5df82ab5e3938a1d12c8658a4d4def7509d0b2,2017-09-01,sell,apartment,San Telmo,-34.6234794192,-58.3667648291,3269175,50,45,,2,
f8a0ff49be29ee66fa81d2c07fa98ff26b5313ca,2017-09-01,sell,apartment,San Telmo,-34.6235500495,-58.3667648291,1903231,34,24,,1,
7fee4003d9e73340b77cc390eb3c00c77d9374db,2017-09-01,sell,apartment,San Telmo,-34.6236206798,-58.3667648291,2103475,38,33,,1,
baac5ce91c04d28d5612cf61b338e8d9bfca2f14,2017-09-01,sell,apartment,Recoleta,-34.5876744,-58.3869388,480000,120,120,,3,
226353a6ef5bff0e895b35cdf0d54bed7a2381e1,2017-09-01,sell,apartment,Nuñez,-34.556256,-58.468448,5150000,,,,3,
f245c669c34636574902672bfea1f1f4cc07e73e,2017-09-01,sell,apartment,Nuñez,-34.556256,-58.468448,8191000,,,,3,
